ORDER_ID    PRODUCT_ID   QUANTITY    ORDER_DATE
R0001       S0003        20          2024-08-02
R0002       S0007        25          2024-08-15
R0003       S0003        10          2024-09-18
R0004       S0002        15          2024-09-25
R0005       S0005        10          2024-10-10
R0006       S0004        13          2024-10-29
R0007       S0001        12          2024-11-19
R0008       S0008        18          2024-11-25
R0009       S0006        10          2024-12-12
R0010       S0005        15          2024-12-31
R0011       S1234        40          2024-12-26
